second,bits,complete_second
1333,46990952,True
1334,50583712,True
1335,50727376,True
1336,50105200,True
1337,48437232,True
1338,50387760,True
1339,52585096,True
1340,46893672,True
1341,48769840,True
1342,51325864,True
1343,53644192,True
1344,48994424,True
1345,47643432,True
1346,51683872,True
1347,50796696,True
1348,50381848,True
1349,45723696,True
1350,51697504,True
1351,49218448,True
1352,50927792,True
1353,54066744,True
1354,48997256,True
1355,47978352,True
1356,52269264,True
1357,49070688,True
1358,49457624,True
1359,51059592,True
1360,50343208,True
1361,49739640,True
1362,50620528,True
1363,49478504,True
1364,51828992,True
1365,47392064,True
1366,47823192,True
1367,54211440,True
1368,47368600,True
1369,49331424,True
1370,53373928,True
1371,60573232,True
1372,56772416,True
1373,56156784,True
1374,48261008,True
1375,54650048,True
1376,48921640,True
1377,47434880,True
1378,50321848,True
1379,48404240,True
1380,39264704,True
1381,41723752,True
1382,43241600,True
1383,54556984,True
1384,49531752,True
1385,46399664,True
1386,52177760,True
1387,49756544,True
1388,50105392,True
1389,52216808,True
1390,45774472,True
1391,52010568,True
1392,51652040,True
1393,47154224,True
1394,51060880,True
1395,50311944,True
1396,51282608,True
1397,50634720,True
1398,50333760,True
1399,48841760,True
1400,45362216,True
1401,53967240,True
1402,49177648,True
1403,50082832,True
1404,51367536,True
1405,48783800,True
1406,49488464,True
1407,49356576,True
1408,51347672,True
1409,49394824,True
1410,51014152,True
1411,47191752,True
1412,52424200,True
1413,49498216,True
1414,50687672,True
1415,47967256,True
1416,49171216,True
1417,48020880,True
1418,52046184,True
1419,51843216,True
1420,50867416,True
1421,50364640,True
1422,47980968,True
1423,50833352,True
1424,52056952,True
1425,48991192,True
1426,48189824,True
1427,52838736,True
1428,49517776,True
1429,51528040,True
1430,46526320,True
1431,51336544,True
1432,51215408,True
1433,49945632,True
1434,44145152,True
1435,51569136,True
1436,53071432,True
1437,49008616,True
1438,50542344,True
1439,50296096,True
1440,50403760,True
1441,51024200,True
1442,50515024,True
1443,48220592,True
1444,47445072,True
1445,53215176,True
1446,47977192,True
1447,51106016,True
1448,51771032,True
1449,63594976,True
1450,54827808,True
1451,49925536,True
1452,51510944,True
1453,42631176,True
1454,41032624,True
1455,53028928,True
1456,56313456,True
1457,53674760,True
1458,49744672,True
1459,51283408,True
1460,49623728,True
1461,46916576,True
1462,51217872,True
1463,51487464,True
1464,54455744,True
